Code	RA	DEC	Diameter	mag	Name
IC670	11.124661	6.713944	1.3	15	
IC671	11.12545	0.782417	1.6	15	
IC672	11.134222	-12.484389	0.5	15	
IC674	11.185106	43.633	1.8	14	
IC676	11.211058	9.055944	2.2	13	
IC677	11.232397	12.300972	1.6	14	
IC678	11.235064	6.577158	0.2	15	
IC680	11.2985	-1.947222	0.6	15	
IC683	11.358828	2.751636	0	0	
IC685	11.3685	17.752222	0	0	
IC686	11.38475	5.643889	0	15	
IC687	11.404794	47.847267	0.7	15	
IC691	11.445678	59.155583	0.7	14	
IC692	11.431547	9.987	0.8	14	
IC693	11.446833	-5.004722	0.6	15	
IC694	11.474253	58.578528	1.2	0	
IC696	11.477758	9.098583	1	14	
IC697	11.476238	-1.629892	0	15	
IC698	11.484386	9.112222	1	14	
IC699	11.485128	8.988417	1.3	15	
IC700	11.487528	20.582222	0.8	15	
IC701	11.516836	20.469333	0.7	0	
IC705	11.548992	50.241744	0.3	15	
IC706	11.5535	-13.338333	1.2	15	
IC707	11.562403	21.379972	0.6	14	
IC708	11.566472	49.061694	1.7	14	Papillon
IC709	11.570697	49.043019	0	15	
IC710	11.574236	25.875972	0	16	
IC711	11.579592	48.955944	0	15	
IC712	11.580339	49.077528	1.6	0	
IC716	11.650939	0.206194	1.7	15	
IC718	11.664686	8.874306	1.2	15	
IC719	11.671825	9.009639	1.7	14	
IC720	11.706197	8.765694	1	15	
IC721	11.708028	-8.340833	1.1	15	
IC725	11.724839	-1.668167	0	15	
IC727	11.741306	10.783278	1.6	15	
IC728	11.747361	-1.601361	1.3	15	
IC729	11.755106	33.335694	0	15	
IC730	11.759775	3.231506	0.6	15	
IC732	11.7665	20.446944	0.4	15	
IC734	11.767764	-8.265278	0.8	16	
IC736	11.805585	12.716375	0.4	15	
IC737	11.807633	12.727139	0.6	15	
IC740	11.844111	55.353639	2.7	13	
IC741	11.842167	-4.836667	0.5	15	
IC742	11.850633	20.799444	1.3	15	
IC744	11.901321	23.192169	0	16	
IC745	11.903419	0.136778	0.7	14	
IC746	11.926406	25.888861	1.3	14	
IC748	11.957432	7.460753	0.3	15	
IC749	11.976089	42.734139	2.5	12.2	
IC750	11.981108	42.722306	2.9	11.8	
IC751	11.981261	42.570194	1.5	0	
IC752	11.987514	42.566722	0	15	
IC753	11.986889	0.524222	0.6	14	
IC754	11.989875	-1.654333	0.9	14	
IC755	12.019558	14.104556	2.7	0	
IC756	12.049383	4.845417	2.1	15	
IC758	12.070061	62.50525	2	13	
IC760	12.098194	-29.2925	1.6	0	
IC761	12.098248	-12.673183	0.6	15	
IC762	12.136653	25.756361	0.6	15	
IC763	12.13757	25.811236	0.8	15	
IC764	12.170528	-29.736667	4.8	12	
IC766	12.181528	-12.654722	1.2	14	
IC767	12.184139	12.103333	0.6	15	
IC768	12.196506	12.143	1.6	15	
IC769	12.208928	12.123083	2.5	13	
IC771	12.253633	13.185	0	15	
IC772	12.25442	23.958139	0	15	
IC773	12.302192	6.140083	1.8	0	
IC775	12.314886	12.912833	1.4	13.3	
IC776	12.317528	8.856333	2.1	14	
IC777	12.323267	28.309528	1.3	14	
IC780	12.332908	25.771278	1.3	14	
IC781	12.334194	14.960833	1	0	
IC782	12.360287	5.765789	0.6	15	
IC783	12.360783	15.745056	1.5	13.6	
IC785	12.383914	-13.223525	0.8	15	
IC786	12.386374	-13.204411	1	15	
IC787	12.423611	16.123333	1	15	
IC789	12.439006	7.460083	0	15	
IC790	12.443201	9.035378	0.5	15	
IC791	12.44987	22.639689	1.2	14	
IC792	12.452431	16.325806	1.8	15	
IC794	12.469079	12.092989	1.7	0	
IC795	12.475361	23.304722	0	15	
IC796	12.490636	16.404333	1.4	14	
IC797	12.531803	15.124056	1.2	14	
IC798	12.542597	15.416078	0	15	
IC800	12.56575	15.354778	1.7	0	
IC801	12.562464	52.254361	1.2	15	
IC802	12.599342	74.301333	1	0	
IC803	12.660306	16.588333	0.7	15	
IC804	12.687778	-5.009167	0	0	
IC806	12.702341	-17.349583	0.6	15	
IC807	12.703464	-17.403786	0.3	15	
IC808	12.6985	19.931944	0	0	
IC809	12.702222	11.753889	1.1	15	
IC810	12.702453	12.596667	1.7	15	
IC813	12.753281	23.035889	1.1	14	
IC815	12.77293	11.876642	0.4	15	
IC816	12.779538	9.851431	1	15	
IC817	12.782412	9.857656	0.3	15	
IC818	12.779031	29.735083	1.3	0	
IC821	12.790633	29.787444	1.4	0	
IC822	12.795989	30.077147	0.4	16	
IC824	12.828381	-4.579917	0.5	15	
IC826	12.855539	31.05925	0.6	15	
IC827	12.865306	16.282472	1	15	
IC829	12.874291	-15.518511	0.4	15	
IC830	12.854639	53.696083	0.8	14	
IC831	12.878878	26.470417	0	15	
IC832	12.899759	26.444	0	0	
IC835	12.947864	26.487111	0.6	0	
IC836	12.931694	63.610833	1.4	15	
IC837	12.958675	26.511806	0	15	
IC838	12.970447	26.426222	0	14	
IC839	12.970847	28.125694	0	0	
IC840	12.978358	10.615806	1	15	
IC842	13.010997	29.019028	0	15	
IC843	13.025997	29.130389	0	15	
IC844	13.055056	-30.520556	1.3	0	
IC846	13.089194	23.095	0	15	
IC848	13.117083	16.006667	0.8	15	
IC849	13.12745	0.942722	1.2	14	
IC850	13.130592	0.868611	0.8	0	
IC851	13.142864	21.049528	1	15	
IC852	13.126895	60.157033	1.1	15	
IC853	13.144911	52.773833	1.3	0	
IC854	13.163892	24.577444	0.6	15	
IC858	13.247769	17.226428	1.7	15	
IC859	13.249255	17.224992	0	15	
IC860	13.250978	24.618528	0.5	15	
IC861	13.252061	34.328417	1.1	16	
IC862	13.270864	20.047028	0.3	15	
IC863	13.286722	-17.255	2.4	0	
IC864	13.285669	20.692167	1.1	16	
IC866	13.287961	20.691056	1.1	16	
IC867	13.288806	20.637972	1.5	15	
IC868	13.291247	20.612361	0	15	
IC871	13.299617	4.403214	2.1	15	
IC873	13.304513	4.464178	0	15	
IC874	13.316778	-27.628056	1.2	0	
IC875	13.285501	57.539089	1.9	13	
IC876	13.309583	4.486	0.6	15	
IC879	13.327883	-27.42925	1.3	0	
IC881	13.332325	15.850028	1.7	15	
IC882	13.33525	15.8975	0	15	
IC883	13.343172	34.138667	1.7	0	
IC885	13.375275	21.316083	0.8	15	
IC889	13.443778	11.869167	0	15	
IC891	13.500016	0.305003	0.3	15	
IC892	13.529414	-2.713106	1.3	14	
IC893	13.529786	-2.611694	1.2	15	
IC894	13.534667	17.048711	1	15	
IC896	13.569509	4.868364	1	15	
IC897	13.572068	17.847956	1	15	
IC898	13.569286	13.280861	0	15	
IC899	13.583182	-8.091642	0.3	15	
IC900	13.578622	9.336722	1.7	0	
IC901	13.595139	13.329722	1.3	16	
IC902	13.600408	49.959778	2.2	15	
IC903	13.640572	0.228472	0.3	0	
IC904	13.642306	0.539722	1.1	15	
IC905	13.667474	23.14285	0.8	15	
IC906	13.669472	23.340278	0.8	16	
IC908	13.688611	-4.344167	0.8	15	
IC909	13.680889	24.472917	0	15	
IC910	13.685528	23.281611	0.5	15	
IC911	13.690391	23.247258	0.4	16	
